,Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified,lat,lon
0,BL0,NO,2021-01-03 00:00:00,6.2,ug m-3,R,51.522287,-0.125848
1,BL0,NO,2021-01-03 01:00:00,1.8,ug m-3,R,51.522287,-0.125848
2,BL0,NO,2021-01-03 02:00:00,1.7,ug m-3,R,51.522287,-0.125848
3,BL0,NO,2021-01-03 03:00:00,1.3,ug m-3,R,51.522287,-0.125848
4,BL0,NO,2021-01-03 04:00:00,1.9,ug m-3,R,51.522287,-0.125848
5,BL0,NO,2021-01-03 05:00:00,5.7,ug m-3,R,51.522287,-0.125848
6,BL0,NO,2021-01-03 06:00:00,5.1,ug m-3,R,51.522287,-0.125848
7,BL0,NO,2021-01-03 07:00:00,8.0,ug m-3,R,51.522287,-0.125848
8,BL0,NO,2021-01-03 08:00:00,11.9,ug m-3,R,51.522287,-0.125848
9,BL0,NO,2021-01-03 09:00:00,15.5,ug m-3,R,51.522287,-0.125848
10,BL0,NO,2021-01-03 10:00:00,15.6,ug m-3,R,51.522287,-0.125848
11,BL0,NO,2021-01-03 11:00:00,16.4,ug m-3,R,51.522287,-0.125848
12,BL0,NO,2021-01-03 12:00:00,13.0,ug m-3,R,51.522287,-0.125848
13,BL0,NO,2021-01-03 13:00:00,12.7,ug m-3,R,51.522287,-0.125848
14,BL0,NO,2021-01-03 14:00:00,14.1,ug m-3,R,51.522287,-0.125848
15,BL0,NO,2021-01-03 15:00:00,9.5,ug m-3,R,51.522287,-0.125848
16,BL0,NO,2021-01-03 16:00:00,9.4,ug m-3,R,51.522287,-0.125848
17,BL0,NO,2021-01-03 17:00:00,6.6,ug m-3,R,51.522287,-0.125848
18,BL0,NO,2021-01-03 18:00:00,6.1,ug m-3,R,51.522287,-0.125848
19,BL0,NO,2021-01-03 19:00:00,5.1,ug m-3,R,51.522287,-0.125848
20,BL0,NO,2021-01-03 20:00:00,4.4,ug m-3,R,51.522287,-0.125848
21,BL0,NO,2021-01-03 21:00:00,4.6,ug m-3,R,51.522287,-0.125848
22,BL0,NO,2021-01-03 22:00:00,2.8,ug m-3,R,51.522287,-0.125848
23,BL0,NO,2021-01-03 23:00:00,3.2,ug m-3,R,51.522287,-0.125848
24,BL0,NO,2021-02-03 00:00:00,2.3,ug m-3,R,51.522287,-0.125848
25,BL0,NO,2021-02-03 01:00:00,1.9,ug m-3,R,51.522287,-0.125848
26,BL0,NO,2021-02-03 02:00:00,1.6,ug m-3,R,51.522287,-0.125848
27,BL0,NO,2021-02-03 03:00:00,1.8,ug m-3,R,51.522287,-0.125848
28,BL0,NO,2021-02-03 04:00:00,2.6,ug m-3,R,51.522287,-0.125848
29,BL0,NO,2021-02-03 05:00:00,3.5,ug m-3,R,51.522287,-0.125848
30,BL0,NO,2021-02-03 06:00:00,4.2,ug m-3,R,51.522287,-0.125848
31,BL0,NO,2021-02-03 07:00:00,10.7,ug m-3,R,51.522287,-0.125848
